student	Q#	answer	G1	G2	G3
e48c004d-82d2-4be5-96a0-fbccf723b6ca	1	bill of rights	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	2	freedom of speech	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	3	it declared that the colonies were free from british rule.	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	4	market economy	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	5	executive branch	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	6	congress	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	7	it depends on the population of the state.	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	8	speaker of the house	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	9	to raise an army	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	10	to tax the people in its state	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	11	they can vote or run for office	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	12	age 18	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	13	to practice their religion freely	1	1	1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	14	to gain freedom from british rule.	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	15	1776	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	16	civil war	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	17	franklin delano roosevelt	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	18	mississippi river	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	19	arizona	-1	-1	-1
e48c004d-82d2-4be5-96a0-fbccf723b6ca	20	each stripe is for the thirteen original colonies.	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	1	the bill of rights	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	2	freedom of speech	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	3	declared our independence from england	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	4	capitalism	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	5	judicial	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	6	congress	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	7	it's based on population	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	8	speaker of the house	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	9	levy taxes	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	10	pass laws	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	11	vote and run for office	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	12	18	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	13	religious freedom	1	1	1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	14	they were subject to british rule but had no representation	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	15	1789	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	16	war of 1812	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	17	franklin roosevelt	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	18	mississippi	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	19	texas	-1	-1	-1
e0afe3f8-8e7f-451d-8c0e-10814c63d220	20	represents the original 13 colonies	1	1	1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	1	bill of rights	1	1	1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	2	to bear arm	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	3	pretty much it the law we follow today	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	4	dollar bill	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	5	judicial	1	1	1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	6	president	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	7	have no clue i didnt even knew they had that	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	8	secrteay of defense	0	0	0
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	9	pretty nuch to pass federal law	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	10	ahhhh immraations	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	11	dont know	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	12	18	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	13	for freedom	1	1	1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	14	for the and	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	15	1791	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	16	civil war	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	17	f.d.r	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	18	mississppi and micigan lake	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	19	texas	-1	-1	-1
d8595453-d9b8-4f4e-b8fd-0704a8d6f8d9	20	cause we had 13 state when we started	0	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	1	the bill of rights	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	2	free excess of religion	0	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	3	declared that the united states is no longer part of the brittish	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	4	capitalism	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	5	legislative, executive, judicial	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	6	supreme court	0	0	0
fff33a09-3a7d-4f41-91c9-256b545c9f10	7	bigger	0	0	0
fff33a09-3a7d-4f41-91c9-256b545c9f10	8	speaker of the house	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	9	executive branch	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	10	right to marry gays	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	11	voting and jury duty	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	12	18	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	13	freedom of religion	1	1	1
fff33a09-3a7d-4f41-91c9-256b545c9f10	14	taxes	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	15	1776	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	16	civil war	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	17	herbert hoover	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	18	colorado	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	19	texas	-1	-1	-1
fff33a09-3a7d-4f41-91c9-256b545c9f10	20	colonies	1	0	1
7ccb1939-c715-4d99-966a-a83446496fcb	1	bill of rights	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	2	freedom of speech	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	3	declared independence from great britain	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	4	free market	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	5	legislative	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	6	congress	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	7	based upon size of the population	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	8	speaker of the house	1	1	1
7ccb1939-c715-4d99-966a-a83446496fcb	9	federal taxes	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	10	to collect state taxes	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	11	vote and serve on juries	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	12	18	-1	-1	-1
